id,type,acct_balance,degree,inDegree,outDegree,pagerank
10114,703-004-5396,801.00714,8,4,4,1.9642712247753322
10133,703-004-5382,9837.08,3,1,2,1.1391389193227137
10250,703-004-5396,9666.745,1,0,1,0.27920371738274696
10730,703-004-5384,1378.8289,1,1,0,0.43440416425732453
10784,207-008-2398,8926.156,4,2,2,0.4106022891088725
10801,703-004-5395,2858.2275,6,1,5,0.35831143730785864
11106,703-004-5385,4412.803,4,3,1,4.480579788648471
11251,703-004-5382,8167.24,6,4,2,1.2620034691306214
11351,703-004-5388,1038.3118,2,1,1,0.3978652972704144
11667,703-004-5380,2971.1943,2,2,0,2.4634260121465417
11687,703-004-5387,7696.725,4,0,4,0.27920371738274696
11822,703-004-5380,86.16984,4,2,2,1.001864291737636
12003,703-004-5382,1851.9163,5,2,3,0.8678491364176029
12104,703-004-5387,5660.862,6,3,3,2.4132213972284795
12164,703-004-5395,4420.012,6,3,3,0.7956707017722372
12204,703-004-5382,7819.1655,2,1,1,0.511428526118494
1241,703-004-5391,3928.044,2,1,1,0.39200646416733576
1265,703-004-5384,7771.021,2,1,1,0.5117516157457107
12750,703-004-5394,1332.274,8,0,8,0.27920371738274696
1280,703-004-5382,4019.2646,4,3,1,0.7323973065269299
12811,703-004-5396,9923.098,6,2,4,0.8078876682112979
13041,703-004-5389,2561.7373,6,2,4,0.7154473677185034
13107,703-004-5393,4942.438,3,3,0,0.8835391093728324
13170,703-004-5392,4937.182,4,1,3,0.4284048706948413
13395,703-004-5396,6533.728,2,0,2,0.27920371738274696
13460,703-004-5384,859.20154,6,4,2,1.5102990016602709
1361,703-004-5391,6269.389,2,1,1,0.619113371087818
13660,703-004-5392,4559.147,5,3,2,0.6995592827956992
13866,703-004-5389,5702.2725,4,2,2,1.657650830190877
14000,703-004-5380,2397.2231,2,0,2,0.27920371738274696
14455,703-004-5384,2537.2732,3,2,1,1.7813460137938577
14525,703-004-5398,8411.295,5,3,2,0.46487444078447926
14552,703-004-5396,5314.9985,3,1,2,0.8980386891944188
15041,703-004-5387,4960.4033,4,2,2,0.7594431352735241
15273,703-004-5386,1788.2615,8,5,3,1.2536521132364462
15420,703-004-5396,4553.965,3,1,2,0.3978652972704144
15435,703-004-5397,3180.554,1,1,0,0.3978652972704144
15478,703-004-5394,1682.4388,7,2,5,0.7246337488310527
16027,703-004-5391,4264.393,4,3,1,1.7216565863182245
16303,703-004-5399,1832.7916,3,2,1,0.6168418728726779
16340,207-008-2399,741.1778,4,2,2,0.5568787325262466
16413,207-008-2398,5422.444,3,1,2,0.5061452249760349
16619,703-004-5385,3488.3481,3,2,1,0.5953307783337635
17024,703-004-5382,899.4866,7,1,6,0.3978652972704144
17256,703-004-5381,4863.393,2,1,1,0.6758248146810989
17260,703-004-5388,5540.58,7,3,4,1.4609243376405385
17275,703-004-5386,2712.0764,2,1,1,0.7049857966372497
17438,207-008-2399,3263.7644,1,0,1,0.27920371738274696
1746,703-004-5382,6689.69,3,2,1,1.147416231142821
17741,703-004-5388,5358.901,8,5,3,2.1063223946662553
17839,703-004-5389,4970.542,7,4,3,1.6203677079272536
17901,703-004-5382,8923.208,9,4,5,1.3790059897019609
1808,207-008-2399,8275.073,5,1,4,0.8572468656085331
18276,703-004-5389,7560.13,4,2,2,0.8580952260416497
18283,703-004-5384,5931.4927,1,1,0,0.677387778083896
