id,type,acct_balance
10221,703-004-5399,4130.9736
10222,703-004-5397,2488.4165
10223,703-004-5392,6022.1855
10224,703-004-5392,5817.138
10225,703-004-5395,1170.9165
10226,703-004-5392,7078.8193
10227,703-004-5387,7988.065
10228,703-004-5383,6248.906
10229,703-004-5380,6635.66
1023,703-004-5386,3759.5654
10230,207-008-2399,9087.991
10231,207-008-2399,4561.603
10232,703-004-5389,4392.609
10233,703-004-5394,7586.6675
10234,703-004-5382,5568.2314
10235,703-004-5395,3404.4468
10236,703-004-5386,2599.8562
10237,703-004-5381,3542.6616
10238,703-004-5385,2006.3352
10239,703-004-5386,4952.45
1024,703-004-5397,7533.3164
10240,703-004-5396,9181.137
10241,703-004-5387,5073.209
10242,703-004-5399,5817.9253
10243,703-004-5386,2753.5134
10244,703-004-5392,4700.011
10245,703-004-5385,5809.2397
10246,703-004-5391,6224.4014
10247,703-004-5386,2584.0986
10248,703-004-5380,9128.579
10249,703-004-5381,533.0664
1025,703-004-5397,6020.0938
10250,703-004-5396,9666.745
10251,703-004-5395,851.03094
10252,703-004-5399,3240.9382
10253,703-004-5380,3711.2212
10254,703-004-5395,8166.077
10255,703-004-5396,5336.401
10256,703-004-5394,9598.871
10257,703-004-5381,3782.2747
10258,703-004-5380,1255.762
10259,703-004-5399,4394.7437
1026,703-004-5381,6759.841
10260,703-004-5390,7240.6616
10261,207-008-2398,7603.6377
10262,703-004-5398,3639.3494
10263,703-004-5382,9612.318
10264,207-008-2398,7113.158
10265,703-004-5394,5191.372
10266,703-004-5398,6610.4404
10267,703-004-5388,3513.2808
10268,703-004-5390,8543.945
10269,703-004-5395,6814.7676
1027,703-004-5397,4532.1763
10270,207-008-2398,364.7393
10271,703-004-5382,5929.727
10272,703-004-5384,721.07074
10273,703-004-5398,9509.082
10274,703-004-5389,938.14197
10275,703-004-5382,1252.0403
10276,703-004-5399,3183.7522
10277,703-004-5398,3581.1597
10278,703-004-5394,7026.3926
10279,703-004-5388,2456.2598
1028,703-004-5397,2063.9258
10280,703-004-5382,3469.8896
10281,703-004-5386,3494.4307
10282,703-004-5383,4378.3633
10283,703-004-5395,8138.783
10284,703-004-5393,8184.3247
10285,703-004-5395,4130.308
10286,703-004-5383,1853.258
10287,703-004-5384,1417.2709
10288,703-004-5383,8280.998
10289,703-004-5396,7033.834
1029,703-004-5389,1500.5952
10290,703-004-5381,1467.0312
10291,703-004-5399,2732.8123
10292,703-004-5392,72.15977
10293,703-004-5388,7380.6875
10294,703-004-5392,6360.442
10295,703-004-5386,2244.6733
10296,703-004-5396,505.30017
10297,703-004-5386,7055.1113
10298,703-004-5399,2137.627
10299,703-004-5399,2510.215
103,703-004-5395,2563.5886
1030,703-004-5396,3178.7456
10300,703-004-5380,2327.6401
10301,207-008-2399,2989.7517
10302,703-004-5398,1577.5925
10303,703-004-5396,3892.635
10304,703-004-5392,5035.301
10305,703-004-5383,1206.482
10306,703-004-5385,358.38187
10307,703-004-5381,523.8247
10308,703-004-5390,1838.4653
10309,703-004-5390,3452.5347
1031,703-004-5388,429.82758
10310,703-004-5383,9627.828
10311,703-004-5391,8708.624
10312,703-004-5388,7793.986
10313,703-004-5382,4314.8794
10314,703-004-5380,1689.027
10315,703-004-5393,7762.2534
10316,703-004-5393,2140.9548
10317,703-004-5389,1068.6243
10318,703-004-5397,7058.2104
10319,703-004-5387,1538.9037
1032,703-004-5384,2363.9006
10320,703-004-5385,5664.698
10321,703-004-5384,7819.728
10322,703-004-5389,4333.363
10323,703-004-5399,186.20312
10324,703-004-5390,1094.4098
10325,703-004-5382,3201.4846
10326,703-004-5397,5356.705
10327,703-004-5399,8458.197
10328,703-004-5392,5647.8267
10329,703-004-5389,890.33185
1033,703-004-5390,7445.859
10330,703-004-5398,9532.834
10331,703-004-5398,6584.9507
10332,703-004-5396,6782.557
10333,703-004-5396,2302.8982
10334,703-004-5399,9563.756
10335,703-004-5385,9468.903
10336,703-004-5380,2472.537
10337,703-004-5382,6204.247
10338,207-008-2399,4014.2876
10339,703-004-5392,9233.211
1034,703-004-5397,1211.1133
10340,703-004-5384,934.3588
10341,703-004-5383,2816.344
10342,703-004-5384,7049.0225
10343,703-004-5387,1480.2736
10344,703-004-5388,3837.9531
10345,703-004-5396,8871.755
10346,703-004-5391,3691.9207
10347,703-004-5381,9636.807
10348,703-004-5388,8848.706
10349,703-004-5383,8408.386
1035,703-004-5391,6986.3516
10350,703-004-5391,3837.2576
10351,703-004-5395,7181.452
10352,703-004-5384,515.82697
10353,207-008-2399,9282.233
10354,703-004-5390,1874.6597
10355,703-004-5381,3764.4785
10356,703-004-5386,7802.9326
10357,703-004-5386,6013.128
10358,703-004-5383,923.96436
10359,703-004-5393,4698.554
1036,703-004-5391,858.56793
10360,703-004-5391,1538.3428
10361,703-004-5387,8705.724
10362,703-004-5393,180.61935
10363,207-008-2399,1794.3966
10364,703-004-5381,6102.394
10365,703-004-5389,3272.4004
10366,703-004-5382,4116.5435
10367,703-004-5384,9909.894
10368,703-004-5398,6150.575
10369,703-004-5394,5064.374
1037,703-004-5386,279.66022
10370,703-004-5380,8778.12
10371,207-008-2399,8630.952
10372,703-004-5399,1310.7443
10373,703-004-5385,2445.9993
10374,703-004-5391,2647.6265
10375,703-004-5395,5680.604
10376,207-008-2399,9064.327
10377,703-004-5391,5552.63
10378,207-008-2399,9925.313
10379,703-004-5393,356.40717
1038,703-004-5389,7343.2754
10380,207-008-2398,6253.39
10381,703-004-5391,3167.0027
10382,703-004-5392,9083.401
10383,703-004-5387,5924.1724
10384,703-004-5391,3908.6902
10385,703-004-5389,3369.4243
10386,703-004-5383,9113.51
10387,703-004-5388,3332.7908
10388,703-004-5396,7441.3823
10389,703-004-5385,8207.826
1039,703-004-5384,1869.2928
10390,703-004-5399,8431.079
10391,703-004-5386,2652.2654
10392,703-004-5382,1329.0734
10393,703-004-5383,6284.515
10394,703-004-5396,5750.042
10395,703-004-5390,3077.9475
10396,703-004-5381,1856.9111
10397,703-004-5393,5054.63
10398,703-004-5396,457.37445
10399,703-004-5383,4840.922
104,703-004-5392,4879.0137
1040,703-004-5384,5443.6895
10400,703-004-5381,8448.747
10401,703-004-5390,7030.178
10402,703-004-5397,298.29205
10403,703-004-5396,183.40886
10404,703-004-5383,7799.0957
10405,703-004-5382,9246.285
10406,703-004-5391,8383.25
10407,703-004-5396,2963.6501
10408,703-004-5395,808.3451
10409,703-004-5390,9015.166
1041,703-004-5385,1964.3969
10410,703-004-5384,1428.3419
10411,703-004-5384,3310.982
10412,703-004-5394,9844.867
10413,703-004-5395,7217.0107
10414,703-004-5383,2653.9766
10415,703-004-5395,7292.65
10416,703-004-5399,3869.8477
10417,703-004-5398,2974.2117
10418,703-004-5394,3850.3938
10419,703-004-5387,5823.7393
1042,207-008-2398,8586.685
10420,703-004-5393,1030.0875
10421,703-004-5397,5653.925
10422,703-004-5385,794.2736
10423,703-004-5384,6267.2715
10424,703-004-5387,5403.852
10425,703-004-5385,4462.8936
10426,703-004-5397,360.6498
10427,703-004-5394,5428.6577
10428,703-004-5397,7494.633
10429,703-004-5390,9172.365
1043,703-004-5388,6477.5415
10430,703-004-5384,4137.885
10431,703-004-5391,2118.733
10432,703-004-5382,928.4359
10433,703-004-5386,9178.929
10434,703-004-5392,7440.9272
10435,703-004-5394,562.25775
10436,703-004-5399,1644.0135
10437,703-004-5380,1670.2169
10438,703-004-5395,3232.6216
10439,703-004-5386,1552.0054
1044,703-004-5388,7529.905
10440,703-004-5383,2151.094
10441,703-004-5383,5112.933
10442,703-004-5394,3439.4277
10443,703-004-5392,5850.886
10444,703-004-5386,1676.1327
10445,703-004-5397,8900.199
10446,703-004-5393,6673.4004
10672,703-004-5385,3099.4607
10673,703-004-5382,2718.8635
10674,703-004-5393,4211.3545
10675,703-004-5383,5692.1484
10676,703-004-5381,3400.9749
10677,703-004-5380,9950.362
10678,703-004-5390,8073.051
10679,703-004-5399,6574.62
1068,703-004-5380,7231.5063
10680,703-004-5391,2519.939
10681,703-004-5391,3642.1526
10682,703-004-5396,9918.809
10683,703-004-5384,8894.207
10684,703-004-5382,9871.429
10685,703-004-5382,3373.0352
10686,703-004-5382,4908.3228
10687,703-004-5399,1266.898
10688,703-004-5388,214.89621
10689,207-008-2398,2101.5322
1069,703-004-5385,550.80536
10690,703-004-5389,613.87775
10691,703-004-5396,2726.9321
10692,703-004-5386,7098.281
10693,703-004-5385,3970.974
10694,703-004-5387,4338.5024
10695,703-004-5380,9404.66
10696,703-004-5384,8613.358
10697,703-004-5395,9622.147
10698,703-004-5387,3095.4617
10699,703-004-5385,8176.3296
107,703-004-5384,628.5238
1070,703-004-5396,8760.452
10700,703-004-5387,4285.6206
10701,703-004-5399,2311.6846
10702,703-004-5380,3007.6992
10703,703-004-5392,6814.394
10704,207-008-2399,3782.357
10705,703-004-5385,9156.573
10706,703-004-5392,3112.3716
10707,703-004-5384,7599.8755
10708,703-004-5382,8837.2295
10709,703-004-5398,8328.764
1071,703-004-5398,8315.907
10710,703-004-5387,8636.462
10711,703-004-5388,7852.6777
10712,703-004-5393,3214.4153
10713,703-004-5394,760.6685
10714,703-004-5381,7221.181
10715,703-004-5394,4912.804
10716,703-004-5385,5595.039
10717,703-004-5383,1529.8182
10718,703-004-5394,931.7541
10719,703-004-5382,8653.281
1072,703-004-5395,4516.7197
10720,703-004-5395,8429.191
10721,703-004-5383,5266.7534
10722,703-004-5389,9974.402
10723,703-004-5381,6056.126
10724,703-004-5390,5775.6655
10725,703-004-5391,1879.2069
10726,207-008-2398,3882.699
10727,703-004-5389,233.86359
10728,703-004-5397,4950.242
10729,703-004-5382,3671.3313
1073,703-004-5391,2697.484
10730,703-004-5384,1378.8289
10731,703-004-5380,589.45416
10732,703-004-5381,7943.944
10733,703-004-5399,3297.6853
10734,703-004-5393,4371.104
10735,703-004-5394,2591.7673
10736,703-004-5383,1126.3389
10737,207-008-2398,4693.4746
10738,703-004-5398,8868.351
10739,703-004-5399,8249.392
1074,703-004-5395,6659.227
10740,703-004-5395,7170.3726
10741,703-004-5380,9333.695
10742,703-004-5396,9379.978
10743,207-008-2399,3778.7407
10744,703-004-5398,2602.8066
10745,703-004-5399,6502.475
10746,703-004-5386,9200.297
10747,207-008-2399,9150.272
10748,703-004-5381,5704.198
