id,type,degree,inDegree,outDegree,pagerank
10272,703-004-5384,3,0,3,0.27920371738274696
10309,703-004-5390,4,2,2,0.624354390248428
10338,207-008-2399,6,3,3,3.7890876947365646
10603,703-004-5399,2,1,1,0.35027013757747105
11205,703-004-5382,7,3,4,1.4254301393626785
11236,703-004-5390,3,2,1,1.702937029643384
11247,703-004-5389,6,2,4,0.6550345019013397
11313,703-004-5387,4,3,1,1.2805344217197896
125,703-004-5394,4,2,2,0.9657759135930407
12542,703-004-5398,4,3,1,1.2748571086453813
12637,703-004-5383,1,0,1,0.27920371738274696
12888,703-004-5397,2,1,1,0.9613826437912941
13187,703-004-5386,3,2,1,0.7774145961912826
1372,207-008-2399,1,1,0,0.5575531147430723
1394,703-004-5380,1,1,0,0.3943041670342941
13985,703-004-5395,3,1,2,0.5193613302068438
14218,703-004-5385,5,5,0,1.4994949968297133
14879,703-004-5380,1,1,0,1.136324103743474
14974,703-004-5390,6,4,2,1.821458290354508
15052,703-004-5395,4,2,2,1.0750439420644002
15448,703-004-5382,5,2,3,1.0515266852660463
15539,703-004-5392,2,1,1,0.4682573121736508
15947,703-004-5384,5,2,3,1.199040407136093
16549,703-004-5388,5,3,2,1.031636957467539
16639,703-004-5398,3,3,0,0.9189983607411812
1669,703-004-5389,7,4,3,0.6730442530017039
17551,703-004-5385,2,2,0,0.7447314857898191
17757,703-004-5380,4,3,1,0.7932385101724493
17835,703-004-5382,2,1,1,0.3187575773453028
17866,703-004-5397,4,1,3,0.5279985688143205
17910,703-004-5394,7,5,2,1.963185670934233
18386,703-004-5385,4,4,0,1.3433527874029774
18429,703-004-5383,2,1,1,0.33853450732658075
19289,703-004-5399,"","","",0.27920371738274696
19369,703-004-5397,2,0,2,0.27920371738274696
19582,703-004-5399,3,0,3,0.27920371738274696
19665,207-008-2399,3,2,1,0.9128719591412076
19919,207-008-2399,4,2,2,0.9006560287299248
19989,703-004-5392,5,2,3,0.6243333797492095
19990,703-004-5386,6,4,2,1.0989609326957337
20141,703-004-5398,1,0,1,0.27920371738274696
20252,207-008-2399,2,1,1,0.6283197248556733
20256,703-004-5394,9,7,2,2.7285795783814963
20959,703-004-5386,5,1,4,0.5437758111464308
2110,703-004-5391,4,2,2,1.1320269681171484
21453,207-008-2399,4,4,0,3.2017289209496416
21515,207-008-2399,6,2,4,0.9785110265278921
21534,703-004-5390,6,3,3,1.4662844552567886
21535,703-004-5382,2,0,2,0.27920371738274696
21645,703-004-5398,4,1,3,0.47845095497922163
21671,703-004-5383,6,4,2,2.570178145093333
21711,703-004-5380,1,0,1,0.27920371738274696
22130,703-004-5392,2,2,0,0.9057907837540198
22314,703-004-5389,4,2,2,1.023315904701251
22436,703-004-5394,"","","",0.27920371738274696
22542,703-004-5383,2,1,1,0.4550692432025116
2275,207-008-2399,3,2,1,0.543142094171259
23113,703-004-5387,7,5,2,2.4260930031663412
23479,703-004-5387,5,3,2,1.0026326236545684
23514,703-004-5398,5,3,2,1.0267592414295412
23592,703-004-5386,3,2,1,1.0703654612849574
2393,703-004-5381,2,1,1,0.773448435581201
24078,703-004-5398,6,2,4,1.2429945826616624
24528,703-004-5398,2,0,2,0.27920371738274696
2464,703-004-5383,4,2,2,0.6026630193837536
25349,703-004-5386,"","","",0.27920371738274696
25350,703-004-5380,4,4,0,3.1171278133691276
25532,703-004-5391,5,3,2,0.9812236371328009
25821,703-004-5384,5,3,2,0.6471963908461392
26222,207-008-2399,"","","",0.27920371738274696
26686,703-004-5383,5,4,1,1.1808247751621022
26687,703-004-5380,2,1,1,0.3903332740880135
27081,703-004-5386,1,1,0,0.5598691754414225
27125,703-004-5399,5,4,1,1.306194023159574
27130,207-008-2399,3,1,2,0.3710179603135642
27247,703-004-5387,3,2,1,0.45336809137657835
27339,207-008-2399,5,4,1,1.71885661824275
27429,703-004-5389,6,5,1,1.4073305908230858
27492,703-004-5380,2,1,1,0.8469638235154101
27541,207-008-2398,2,1,1,0.8317705760599059
2756,703-004-5385,3,3,0,0.8672107251864575
27563,207-008-2398,7,4,3,1.3580382145536376
27729,703-004-5393,1,1,0,1.1873612532896307
27752,703-004-5380,2,0,2,0.27920371738274696
27753,703-004-5396,1,0,1,0.27920371738274696
27890,703-004-5391,4,2,2,0.5520629682829117
27966,703-004-5389,3,2,1,1.0563010718975565
28039,703-004-5392,1,0,1,0.27920371738274696
28102,703-004-5388,1,1,0,0.5393487126381684
28183,703-004-5394,3,2,1,0.43741915723297026
28288,703-004-5389,9,5,4,3.7112731438846684
28449,703-004-5394,3,2,1,0.5166075678564442
28463,703-004-5384,7,5,2,1.569252764491664
28500,703-004-5389,6,4,2,1.8396897240861065
28524,703-004-5381,2,1,1,0.5439604003356163
29055,703-004-5394,2,0,2,0.27920371738274696
29097,703-004-5388,3,2,1,0.5619026373770291
29978,703-004-5389,3,1,2,0.5941167061860563
30054,703-004-5390,6,5,1,4.534758173165974
3015,207-008-2399,4,1,3,0.603953089529431
30740,703-004-5388,4,1,3,0.9649011105890597
30750,703-004-5380,2,1,1,0.33853450732658075
30811,703-004-5399,2,0,2,0.27920371738274696
30857,703-004-5391,2,2,0,1.2178741054588702
30953,703-004-5399,8,0,8,0.27920371738274696
31067,703-004-5381,3,1,2,0.5629313495785501
31330,703-004-5393,4,1,3,0.4538460989430802
32361,703-004-5387,2,1,1,1.246026349913696
32392,703-004-5398,5,2,3,1.1373784939003275
32529,703-004-5397,4,2,2,1.0056700682603814
32654,703-004-5391,5,2,3,1.595385453183986
32660,703-004-5398,4,2,2,0.6364762759044543
32788,207-008-2399,3,1,2,0.3978652972704144
3281,703-004-5396,8,7,1,4.174739181453979
32939,703-004-5390,5,2,3,0.7903695492121046
32943,703-004-5397,4,1,3,2.3694794342422765
33004,703-004-5381,2,0,2,0.27920371738274696
33615,703-004-5381,4,2,2,1.342953746749568
3368,703-004-5389,4,1,3,0.6105812435460113
33774,703-004-5393,1,1,0,0.5210768431721786
33840,703-004-5387,5,4,1,1.7752289612366532
34347,703-004-5392,2,1,1,0.35831143730785864
34404,703-004-5381,5,3,2,2.030887583048186
3441,703-004-5386,6,1,5,0.699367890989993
34414,703-004-5384,3,1,2,0.808890753565397
34565,703-004-5392,3,2,1,0.5573897226737735
34591,207-008-2398,4,1,3,0.4322383518600983
34829,703-004-5392,3,0,3,0.27920371738274696
35089,703-004-5397,6,3,3,1.1169817536908473
35095,703-004-5390,2,1,1,0.954119392354166
3517,703-004-5396,5,3,2,1.4216339074204383
35438,703-004-5388,2,0,2,0.27920371738274696
35771,703-004-5385,4,3,1,1.4817703324129803
3650,703-004-5386,5,2,3,0.7317099639921224
36538,703-004-5384,6,2,4,0.5274398744915906
36689,703-004-5387,2,1,1,0.4546005856217786
36782,703-004-5395,4,0,4,0.27920371738274696
37160,207-008-2399,6,4,2,1.703554740409037
37399,703-004-5386,7,3,4,0.7216947431865317
37796,703-004-5380,6,2,4,0.6225592617990948
38203,703-004-5389,3,0,3,0.27920371738274696
3826,703-004-5383,3,2,1,1.4396176582807847
38296,703-004-5397,6,1,5,0.3797614955655527
38318,207-008-2398,5,3,2,1.867443042825924
38339,703-004-5390,2,1,1,0.44587996256008733
38526,703-004-5396,5,2,3,1.2428661711125675
38576,703-004-5390,4,2,2,1.177798253830052
3858,703-004-5388,3,2,1,2.5058424399821404
38900,207-008-2398,3,3,0,0.724570204103509
38926,703-004-5385,3,2,1,0.626978235706349
39083,703-004-5389,5,2,3,0.6221684814063383
39692,703-004-5386,5,4,1,0.9810856907433357
39755,703-004-5395,5,2,3,0.5958207920965163
39840,703-004-5396,4,0,4,0.27920371738274696
40079,703-004-5382,3,2,1,2.2146610228354513
40353,207-008-2399,3,3,0,2.3281954720039972
40512,703-004-5383,10,5,5,4.897458923110246
40524,703-004-5392,4,3,1,0.8152604252178055
40866,703-004-5381,5,3,2,0.9887409601544233
40972,703-004-5398,2,2,0,0.5375508627570658
41009,703-004-5389,5,1,4,0.44014580264413117
41256,207-008-2398,3,1,2,0.9601352669383911
41262,703-004-5397,1,0,1,0.27920371738274696
41280,703-004-5394,4,1,3,0.44365934631320175
41313,703-004-5389,3,2,1,2.010529112145474
41983,703-004-5383,2,0,2,0.27920371738274696
42507,207-008-2398,5,2,3,0.8180631693018152
42548,703-004-5388,6,4,2,2.1282092018399625
42679,703-004-5383,7,0,7,0.27920371738274696
42975,703-004-5382,5,2,3,0.9246779796127874
43341,703-004-5399,6,3,3,1.4143307321084118
44350,703-004-5387,2,1,1,0.5783265178096785
44603,703-004-5382,9,2,7,2.7720755125860923
44966,207-008-2398,8,4,4,1.5093184759832075
451,703-004-5389,2,2,0,0.7368175971354327
45756,703-004-5399,5,3,2,1.121180877481558
45856,703-004-5387,5,1,4,0.4369685760263021
46391,703-004-5390,5,5,0,2.58233623725566
